sample	group
S001	1
S002	1
S003	1
S004	1
S005	0
S006	1
S007	1
S008	0
S009	1
S010	1
S011	1
S012	0
S013	1
S014	0
S015	0
S016	1
S017	1
S018	1
S019	1
S020	1
S021	1
S022	1
S023	1
S024	1
S025	1
S026	1
S027	1
S028	1
S029	1
S030	0
S031	1
S032	1
S033	1
S034	1
S035	1
S036	1
S037	1
S038	1
S039	1
S040	1
S041	1
S042	1
S043	1
S044	1
S045	1
S046	1
S047	1
S048	1
S049	1
S050	1
S051	1
S052	1
S053	1
S054	1
S055	1
S056	0
S057	1
S058	1
S059	1
S060	1
S061	1
S062	1
S063	1
S064	1
S065	1
S066	1
S067	1
S068	0
S069	1
S070	0
S071	1
S072	1
S073	1
S074	1
S075	1
S076	1
S077	1
S078	1
S079	1
S080	1
S081	1
S082	1
S083	1
S084	1
S085	1
S086	1
S087	1
S088	0
S089	0
S090	1
S091	1
S092	1
S093	0
S094	0
S095	0
S096	1
S097	0
S098	1
S099	1
S100	1
